FIPS,year,bachelorsOrMore,someCollege,lessThanHSD,HSDonly
02000,1970.0,0.141,0.149,0.333,0.377
02000,1980.0,0.211,0.226,0.175,0.389
02000,1990.0,0.23,0.349,0.134,0.287
02000,2e3,0.247,0.357,0.117,0.279
02000,2010.0,0.277,0.366,0.082,0.275
02010,1970.0,0.125,0.122,0.397,0.357
02010,1980.0,0.153,0.205,0.229,0.412
02013,1990.0,0.129,0.221,0.336,0.314
02013,2e3,0.049,0.209,0.253,0.49
02013,2010.0,0.126,0.265,0.205,0.404
02016,1990.0,0.148,0.387,0.142,0.323
02016,2e3,0.11,0.331,0.215,0.344
02016,2010.0,0.154,0.334,0.145,0.367
02020,1970.0,0.159,0.174,0.241,0.427
02020,1980.0,0.236,0.251,0.117,0.396
02020,1990.0,0.269,0.383,0.096,0.252
02020,2e3,0.289,0.372,0.097,0.242
02020,2010.0,0.329,0.362,0.075,0.233
02050,1970.0,0.079,0.033,0.806,0.082
02050,1980.0,0.137,0.101,0.541,0.22
02050,1990.0,0.131,0.176,0.377,0.317
02050,2e3,0.131,0.193,0.29,0.386
02050,2010.0,0.114,0.272,0.198,0.417
02060,1970.0,0.131,0.142,0.292,0.435
02060,1980.0,0.165,0.22,0.181,0.434
02060,1990.0,0.189,0.452,0.102,0.256
02060,2e3,0.211,0.338,0.111,0.34
02060,2010.0,0.202,0.424,0.088,0.286
02068,2e3,0.227,0.386,0.083,0.304
02068,2010.0,0.295,0.353,0.091,0.261
02070,1970.0,0.087,0.078,0.695,0.14
02070,1980.0,0.162,0.113,0.436,0.289
02070,1990.0,0.153,0.226,0.302,0.318
02070,2e3,0.164,0.263,0.234,0.339
02070,2010.0,0.166,0.32,0.156,0.358
02090,1970.0,0.167,0.164,0.25,0.419
02090,1980.0,0.22,0.231,0.134,0.416
02090,1990.0,0.252,0.363,0.102,0.283
02090,2e3,0.27,0.393,0.082,0.255
02090,2010.0,0.305,0.386,0.066,0.242
02100,1970.0,0.134,0.099,0.531,0.236
02100,1980.0,0.198,0.191,0.221,0.391
02100,1990.0,0.176,0.339,0.215,0.271
02100,2e3,0.238,0.34,0.111,0.311
02100,2010.0,0.313,0.329,0.043,0.315
02105,2010.0,0.293,0.305,0.101,0.301
02110,1970.0,0.219,0.175,0.229,0.377
02110,1980.0,0.339,0.232,0.089,0.34
02110,1990.0,0.307,0.345,0.101,0.247
02110,2e3,0.36,0.352,0.068,0.22
02110,2010.0,0.378,0.354,0.054,0.214
02122,1970.0,0.105,0.146,0.351,0.398
02122,1980.0,0.162,0.22,0.18,0.438
02122,1990.0,0.179,0.343,0.128,0.35
02122,2e3,0.203,0.364,0.115,0.318
02122,2010.0,0.233,0.376,0.067,0.324
02130,1970.0,0.145,0.133,0.356,0.366
02130,1980.0,0.177,0.219,0.178,0.426
02130,1990.0,0.202,0.341,0.146,0.31
02130,2e3,0.202,0.398,0.104,0.297
02130,2010.0,0.246,0.347,0.072,0.335
02150,1970.0,0.111,0.129,0.394,0.367
02150,1980.0,0.177,0.221,0.217,0.385
02150,1990.0,0.215,0.314,0.153,0.318
02150,2e3,0.187,0.353,0.146,0.313
02150,2010.0,0.216,0.437,0.09,0.257
02160,1970.0,0.114,0.052,0.637,0.198
02164,1990.0,0.144,0.124,0.393,0.34
02164,2e3,0.124,0.205,0.278,0.392
02164,2010.0,0.137,0.311,0.149,0.403
02170,1970.0,0.076,0.128,0.392,0.405
02170,1980.0,0.177,0.233,0.186,0.404
02170,1990.0,0.181,0.362,0.122,0.335
02170,2e3,0.183,0.386,0.119,0.313
02170,2010.0,0.209,0.395,0.075,0.321
02180,1970.0,0.095,0.077,0.695,0.133
02180,1980.0,0.137,0.131,0.456,0.276
02180,1990.0,0.138,0.199,0.35,0.313
02180,2e3,0.147,0.22,0.252,0.381
02180,2010.0,0.147,0.274,0.153,0.425
02185,1970.0,0.065,0.036,0.809,0.09
02185,1980.0,0.126,0.164,0.436,0.274
02185,1990.0,0.141,0.239,0.315,0.305
02185,2e3,0.17,0.254,0.226,0.351
02185,2010.0,0.134,0.382,0.129,0.354
02188,1970.0,0.063,0.052,0.757,0.128
02188,1980.0,0.134,0.099,0.518,0.249
02188,1990.0,0.119,0.174,0.362,0.345
02188,2e3,0.127,0.189,0.28,0.404
02188,2010.0,0.12,0.254,0.207,0.418
02195,2010.0,0.252,0.371,0.046,0.332
02198,2010.0,0.163,0.328,0.089,0.421
02201,1970.0,0.077,0.105,0.466,0.353
02201,1980.0,0.1,0.174,0.309,0.416
02201,1990.0,0.114,0.253,0.225,0.408
02201,2e3,0.142,0.288,0.159,0.411
02220,1970.0,0.141,0.146,0.361,0.351
02220,1980.0,0.212,0.218,0.189,0.381
02220,1990.0,0.214,0.349,0.13,0.307
02220,2e3,0.295,0.358,0.094,0.253
02220,2010.0,0.329,0.375,0.08,0.217
02230,2010.0,0.346,0.331,0.033,0.29
02231,1970.0,0.095,0.102,0.493,0.309
02231,1980.0,0.147,0.151,0.291,0.412
02231,1990.0,0.158,0.273,0.207,0.362
02232,2e3,0.216,0.323,0.156,0.305
02240,1970.0,0.143,0.147,0.371,0.339
02240,1980.0,0.153,0.184,0.204,0.459
02240,1990.0,0.19,0.329,0.141,0.34
02240,2e3,0.182,0.335,0.132,0.351
02240,2010.0,0.207,0.399,0.081,0.313
02250,1970.0,0.064,0.126,0.61,0.2
02261,1970.0,0.099,0.119,0.411,0.371
02261,1980.0,0.156,0.239,0.197,0.408
02261,1990.0,0.185,0.334,0.161,0.319
02261,2e3,0.212,0.374,0.115,0.299
02261,2010.0,0.241,0.409,0.085,0.265
02270,1970.0,0.013,0.013,0.93,0.044
02270,1980.0,0.077,0.072,0.654,0.197
02270,1990.0,0.102,0.152,0.422,0.323
02270,2e3,0.091,0.161,0.337,0.412
02270,2010.0,0.045,0.24,0.232,0.483
02275,2010.0,0.187,0.35,0.108,0.355
02280,1970.0,0.091,0.123,0.458,0.328
02280,1980.0,0.177,0.222,0.229,0.373
02280,1990.0,0.198,0.265,0.19,0.347
02280,2e3,0.163,0.331,0.142,0.365
02282,2e3,0.176,0.333,0.157,0.333
02282,2010.0,0.203,0.324,0.082,0.392
02290,1970.0,0.095,0.108,0.482,0.314
02290,1980.0,0.134,0.175,0.331,0.36
02290,1990.0,0.138,0.261,0.268,0.333
02290,2e3,0.142,0.207,0.257,0.394
02290,2010.0,0.101,0.336,0.185,0.378
04000,1970.0,0.126,0.139,0.419,0.316
04000,1980.0,0.174,0.206,0.276,0.343
04000,1990.0,0.203,0.322,0.213,0.261
04000,2e3,0.235,0.331,0.19,0.243
04000,2010.0,0.271,0.343,0.141,0.245
04001,1970.0,0.082,0.069,0.66,0.189
04001,1980.0,0.104,0.14,0.507,0.249
04001,1990.0,0.085,0.206,0.453,0.255
04001,2e3,0.113,0.274,0.364,0.249
04001,2010.0,0.101,0.329,0.242,0.329
04003,1970.0,0.107,0.118,0.441,0.333
04003,1980.0,0.138,0.202,0.312,0.348
04003,1990.0,0.161,0.329,0.243,0.267
04003,2e3,0.188,0.36,0.205,0.246
04003,2010.0,0.231,0.395,0.137,0.237
04005,1970.0,0.161,0.149,0.417,0.273
04005,1980.0,0.232,0.208,0.256,0.304
04005,1990.0,0.246,0.307,0.21,0.238
04005,2e3,0.299,0.322,0.162,0.216
04005,2010.0,0.328,0.332,0.122,0.217
04007,1970.0,0.063,0.096,0.538,0.303
04007,1980.0,0.078,0.155,0.383,0.383
04007,1990.0,0.097,0.264,0.319,0.32
04007,2e3,0.139,0.357,0.218,0.287
04007,2010.0,0.171,0.364,0.164,0.301
04009,1970.0,0.092,0.13,0.527,0.25
04009,1980.0,0.1,0.182,0.395,0.324
04009,1990.0,0.113,0.285,0.324,0.277
04009,2e3,0.118,0.336,0.244,0.301
04009,2010.0,0.136,0.377,0.148,0.34
04011,1970.0,0.064,0.079,0.526,0.33
04011,1980.0,0.099,0.175,0.317,0.409
04011,1990.0,0.104,0.209,0.258,0.429
04011,2e3,0.122,0.352,0.175,0.351
04011,2010.0,0.118,0.365,0.149,0.369
04012,1990.0,0.085,0.229,0.37,0.315
04012,2e3,0.087,0.267,0.307,0.339
04012,2010.0,0.102,0.311,0.231,0.357
04013,1970.0,0.128,0.15,0.399,0.322
04013,1980.0,0.183,0.218,0.25,0.349
04013,1990.0,0.221,0.339,0.185,0.255
