FIPS,Unemployment_rate_2015,Median_Household_Income_2014
17035,0.054000000000000006,49567.0
17037,0.055999999999999994,56536.0
17039,0.055999999999999994,55193.0
17041,0.05,52526.0
17043,0.047,80037.0
17045,0.064,45485.0
17047,0.06,46894.0
17049,0.049,52578.0
17051,0.065,41268.0
17053,0.054000000000000006,50877.0
17055,0.08199999999999999,37758.0
17057,0.077,44435.0
17059,0.069,41045.0
17061,0.062,39738.0
17063,0.068,70092.0
17065,0.053,49790.0
17067,0.064,48767.0
17069,0.08199999999999999,37331.0
17071,0.059000000000000004,50999.0
17073,0.062,51025.0
17075,0.057,46895.0
17077,0.055999999999999994,34395.0
17079,0.063,52919.0
17081,0.068,43073.0
17083,0.063,52493.0
17085,0.055,51282.0
17087,0.086,45773.0
17089,0.057999999999999996,72131.0
17091,0.068,56326.0
17093,0.051,90640.0
17095,0.062,38992.0
17097,0.055,78001.0
17099,0.07,51205.0
17101,0.071,41759.0
17103,0.054000000000000006,54472.0
17105,0.055,53918.0
17107,0.055,54353.0
17109,0.063,42684.0
17111,0.053,76856.0
17113,0.049,60460.0
17115,0.071,47575.0
17117,0.063,48544.0
17119,0.061,54375.0
17121,0.069,44289.0
17123,0.067,53732.0
17125,0.07200000000000001,46878.0
17127,0.07400000000000001,40590.0
17129,0.048,61388.0
17131,0.062,54916.0
17133,0.044000000000000004,73684.0
17135,0.077,45288.0
17137,0.051,46406.0
17139,0.044000000000000004,52790.0
17141,0.062,57126.0
17143,0.069,52448.0
17145,0.07200000000000001,42032.0
17147,0.051,65971.0
17149,0.052000000000000005,39005.0
17151,0.07,40722.0
17153,0.09,33943.0
17155,0.064,62024.0
17157,0.055,47862.0
17159,0.06,43396.0
17161,0.065,48024.0
17163,0.066,50155.0
17165,0.077,38329.0
17167,0.053,55371.0
17169,0.059000000000000004,47092.0
17171,0.057999999999999996,51584.0
17173,0.06,48994.0
17175,0.066,50219.0
17177,0.067,48569.0
17179,0.063,60490.0
17181,0.078,40957.0
17183,0.071,42036.0
17185,0.057,49385.0
17187,0.054000000000000006,44180.0
17189,0.039,54683.0
17191,0.07,46839.0
17193,0.057999999999999996,46927.0
17195,0.063,49895.0
17197,0.06,75176.0
17199,0.062,46322.0
17201,0.071,47708.0
17203,0.051,70127.0
18001,0.038,50172.0
18003,0.045,48651.0
18005,0.036000000000000004,54101.0
18007,0.044000000000000004,46196.0
18009,0.06,39563.0
18011,0.037000000000000005,68352.0
18013,0.047,52582.0
18015,0.043,55318.0
18017,0.046,44430.0
18019,0.045,52050.0
18021,0.053,44385.0
18023,0.04,49945.0
18025,0.06,40657.0
18027,0.038,47670.0
18029,0.051,59280.0
18031,0.04,50258.0
18033,0.040999999999999995,51911.0
18035,0.057,39449.0
18037,0.034,53211.0
18039,0.038,50192.0
18041,0.065,40122.0
18043,0.042,53186.0
18045,0.059000000000000004,45168.0
18047,0.051,54086.0
18049,0.048,44762.0
18051,0.038,46466.0
18053,0.055,40234.0
18055,0.068,41077.0
18057,0.034,89861.0
18059,0.042,68334.0
18061,0.045,56787.0
18063,0.038,70358.0
18065,0.053,41955.0
18067,0.05,47433.0
18069,0.043,49832.0
18071,0.04,48368.0
18073,0.057999999999999996,55190.0
18075,0.05,38663.0
18077,0.048,45964.0
18079,0.051,43783.0
18081,0.04,58833.0
18083,0.046,44077.0
18085,0.04,54068.0
18087,0.036000000000000004,52003.0
18089,0.068,50774.0
18091,0.063,46243.0
18093,0.065,45232.0
18095,0.055999999999999994,44730.0
18097,0.05,42700.0
18099,0.040999999999999995,52508.0
18101,0.042,48381.0
18103,0.052000000000000005,41065.0
18105,0.049,43841.0
18107,0.04,46945.0
18109,0.046,54849.0
18111,0.057,51285.0
18113,0.042,50997.0
18115,0.054000000000000006,51403.0
18117,0.06,39572.0
18119,0.062,46001.0
18121,0.057,42056.0
18123,0.047,44623.0
18125,0.044000000000000004,47217.0
18127,0.054000000000000006,63030.0
18129,0.039,59975.0
18131,0.045,43770.0
18133,0.051,49467.0
18135,0.05,41577.0
18137,0.054000000000000006,52491.0
18139,0.043,47418.0
18141,0.05,46388.0
18143,0.054000000000000006,41649.0
18145,0.044000000000000004,54831.0
18147,0.040999999999999995,54468.0
18149,0.059000000000000004,43740.0
18151,0.039,50078.0
18153,0.062,43933.0
18155,0.049,47606.0
18157,0.042,46276.0
