FIPS,bachelorsOrMore,someCollege,lessThanHSD,HSDonly
02230,0.0,0.0,0.0,0.0
02231,0.063,0.17100000000000004,-0.28600000000000003,0.05299999999999999
02232,0.0,0.0,0.0,0.0
02240,0.064,0.252,-0.29,-0.026000000000000023
02250,0.0,0.0,0.0,0.0
02261,0.142,0.29,-0.32599999999999996,-0.10599999999999998
02270,0.032,0.22699999999999998,-0.6980000000000001,0.439
02275,0.0,0.0,0.0,0.0
02280,0.07200000000000001,0.20800000000000002,-0.31600000000000006,0.03699999999999998
02282,0.027000000000000024,-0.009000000000000008,-0.075,0.059
02290,0.006000000000000005,0.22800000000000004,-0.297,0.064
04000,0.14500000000000002,0.20400000000000001,-0.278,-0.07100000000000001
04001,0.019000000000000003,0.26,-0.41800000000000004,0.14
04003,0.12400000000000001,0.277,-0.304,-0.09600000000000003
04005,0.167,0.18300000000000002,-0.295,-0.05600000000000002
04007,0.10800000000000001,0.268,-0.374,-0.0020000000000000018
04009,0.04400000000000001,0.247,-0.379,0.09000000000000002
04011,0.05399999999999999,0.286,-0.377,0.03899999999999998
04012,0.016999999999999987,0.08199999999999999,-0.13899999999999998,0.04199999999999998
04013,0.172,0.18400000000000002,-0.265,-0.089
04015,0.05199999999999999,0.246,-0.262,-0.03600000000000003
04017,0.07599999999999998,0.28700000000000003,-0.39499999999999996,0.03199999999999997
04019,0.144,0.204,-0.244,-0.10400000000000001
04021,0.10099999999999999,0.294,-0.42699999999999994,0.030999999999999972
04023,0.129,0.131,-0.29599999999999993,0.036000000000000004
04025,0.136,0.264,-0.349,-0.04999999999999999
04027,0.05300000000000002,0.20600000000000002,-0.21400000000000002,-0.044999999999999984
05000,0.13899999999999998,0.21099999999999997,-0.44399999999999995,0.09399999999999997
05001,0.08500000000000002,0.187,-0.45999999999999996,0.189
05003,0.067,0.21599999999999997,-0.44999999999999996,0.16499999999999998
05005,0.11699999999999999,0.22200000000000003,-0.40900000000000003,0.07100000000000001
05007,0.23399999999999999,0.17600000000000002,-0.42999999999999994,0.02100000000000002
05009,0.079,0.257,-0.41000000000000003,0.07300000000000001
05011,0.069,0.20500000000000002,-0.4680000000000001,0.195
05013,0.071,0.171,-0.506,0.263
05015,0.11900000000000002,0.23099999999999998,-0.43199999999999994,0.08199999999999996
05017,0.067,0.188,-0.492,0.236
05019,0.109,0.195,-0.43799999999999994,0.13399999999999998
05021,0.069,0.197,-0.539,0.274
05023,0.13799999999999998,0.255,-0.579,0.186
05025,0.124,0.24400000000000002,-0.5409999999999999,0.172
05027,0.153,0.195,-0.45099999999999996,0.10299999999999998
05029,0.11900000000000001,0.21100000000000002,-0.476,0.14699999999999996
05031,0.16,0.21399999999999997,-0.473,0.1
05033,0.10699999999999998,0.239,-0.481,0.136
05035,0.10099999999999999,0.237,-0.49299999999999994,0.155
05037,0.086,0.16299999999999998,-0.509,0.261
05039,0.072,0.139,-0.519,0.30900000000000005
05041,0.062000000000000006,0.181,-0.4620000000000001,0.21899999999999997
