STATEFIPS,COUNTY,TOT_POP,NHWA
5,127,7779,0.8666923769121995
5,129,6124,0.9405617243631613
5,131,93613,0.7482507771356542
5,133,11855,0.6542387178405736
5,135,13085,0.9430645777607948
5,137,9755,0.9566376217324449
5,139,29650,0.6453962900505902
5,141,13096,0.9455558949297496
5,143,159981,0.7680287034085298
5,145,57464,0.9038876513991368
5,147,5154,0.713814512999612
5,149,15860,0.8052332912988651
6,1,1252355,0.355059867210176
6,3,876,0.7226027397260274
6,5,30716,0.8107500976689673
6,7,172078,0.7692674252373923
6,9,36158,0.8423032247358814
6,11,14976,0.4263488247863248
6,13,839019,0.4884895336100851
6,15,20947,0.6648684775862892
6,17,142459,0.8142553296036052
6,19,667673,0.35617285707224944
6,21,19782,0.5829036497826307
6,23,104616,0.7904240269174887
6,25,123829,0.13987838067011765
