FIPS,uninsured_rate_2013,uninsured_rate_2016,change
13261,0.27,0.15,-0.12
13263,0.23,0.13,-0.1
13265,0.28,0.16,-0.12
13267,0.25,0.16,-0.09
13269,0.25,0.13,-0.12
13271,0.26,0.12,-0.15
13273,0.28,0.16,-0.12
13275,0.24,0.14,-0.1
13277,0.24,0.19,-0.05
13279,0.25,0.18,-0.07
13281,0.19,0.12,-0.08
13283,0.27,0.12,-0.15
13285,0.22,0.14,-0.08
13287,0.28,0.22,-0.06
13289,0.22,0.13,-0.09
13291,0.18,0.11,-0.07
13293,0.23,0.15,-0.08
13295,0.21,0.14,-0.07
13297,0.16,0.09,-0.07
13299,0.26,0.17,-0.09
13301,0.26,0.14,-0.12
13303,0.26,0.14,-0.13
13305,0.24,0.16,-0.08
13307,0.24,0.13,-0.11
13309,0.24,0.13,-0.11
13311,0.2,0.11,-0.1
13313,0.24,0.18,-0.06
13315,0.27,0.15,-0.12
13317,0.25,0.16,-0.1
13319,0.23,0.11,-0.12
13321,0.25,0.15,-0.1
15001,0.13,0.08,-0.05
15003,0.08,0.05,-0.03
15005,0.23,0.13,-0.1
15007,0.11,0.07,-0.04
15009,0.11,0.06,-0.05
16001,0.14,0.06,-0.08
16003,0.2,0.1,-0.1
16005,0.19,0.08,-0.11
16007,0.19,0.08,-0.11
16009,0.22,0.14,-0.08
16011,0.19,0.11,-0.08
16013,0.16,0.07,-0.09
16015,0.18,0.09,-0.09
16017,0.19,0.09,-0.1
16019,0.16,0.07,-0.09
16021,0.23,0.17,-0.07
16023,0.2,0.08,-0.12
16025,0.2,0.1,-0.1
16027,0.21,0.11,-0.1
16029,0.17,0.09,-0.08
16031,0.23,0.13,-0.1
16033,0.16,0.15,-0.01
16035,0.21,0.11,-0.1
16037,0.15,0.09,-0.06
16039,0.22,0.11,-0.11
16041,0.18,0.09,-0.09
16043,0.18,0.09,-0.09
16045,0.22,0.12,-0.11
16047,0.23,0.14,-0.09
16049,0.21,0.11,-0.1
16051,0.16,0.07,-0.09
16053,0.23,0.16,-0.07
16055,0.18,0.1,-0.08
16057,0.2,0.08,-0.12
16059,0.21,0.1,-0.11
16061,0.21,0.12,-0.09
16063,0.24,0.15,-0.09
16065,0.19,0.07,-0.12
16067,0.24,0.15,-0.09
16069,0.18,0.11,-0.07
16071,0.19,0.09,-0.1
16073,0.26,0.17,-0.09
16075,0.23,0.12,-0.11
16077,0.23,0.15,-0.08
16079,0.22,0.09,-0.13
16081,0.19,0.1,-0.09
16083,0.21,0.12,-0.09
16085,0.18,0.07,-0.11
16087,0.24,0.14,-0.1
17001,0.16,0.06,-0.1
17003,0.22,0.09,-0.13
17005,0.16,0.05,-0.11
17007,0.13,0.04,-0.09
17009,0.17,0.05,-0.12
